City,Franchise Fee
Dayton,10%
Liberty,6%
Pearland,15%
Gonzales,15%
San Marcos,7%
Bellmead,7%
Bremond,5%
Fort Worth,10%
Grandview,7%
Italy,7%
Kosse,5%
Rio Vista,6%
Troy,3%
Waco,4%
Hubbard,5%
Addison,5%
Carrollton,7.50%
Dallas,4%
Farmers Branch,10%
Garland,5%
Irving,5%
University Parks,7%
Weatherford,8%
Godley,10%
Lancaster,10%
Seagoville,10%
White Settlement,10%
New Fairview,10%
Krum,6%
Mansfield,8%
Taft,15%
Galveston,8%
Bryan,6%
Houston,4%
Kenedy,8%
Kenedy,8%
Manvel,15%
Helotes,6%
Cleveland,11%
Cleveland,6%
Fair Oaks Ranch,5%
McKinney,5%
Balcones Heights,6%
Lorena,5%
Selma,5%
Manor,12%
Bartonville,6%
Richardson,5%
Kennedale,6%
Tyler,6%
Longview,10%
Hillsboro,10%
Mingus,5%
