Address,City,State,Zip,Qty,Service,Size,Freq.
100 Marketplace Lane,Highland Village,TX,75077,1,Trash,8 Yard,2x/week
100 WALTON WAY,Midlothian,TX,76065,1,Trash,6 Yard,2x/week
101 E Monte Cristo Rd,Edinburg,TX,78541,1,Trash,8 Yard,2x/week
101 N Loop 288,Denton,TX,76209,1,Trash,8 Yard,2x/week
1030 NORWOOD PARK BLVD,Austin,TX,78753,1,Trash,2 Yard,5x/week
1030 NORWOOD PARK BLVD,Austin,TX,78753,1,OCC-Recycling,2 Yard,2x/week
10361 Alameda,Socorro,TX,79927,1,Trash,6 Yard,1x/week
10431 S Post Oak Rd,Houston,TX,77035,1,Trash,8 Yard,2x/week
1045 SAWDUST RD,Spring,TX,77380,1,Trash,6 Yard,2x/week
105 S Custer Rd,Allen,TX,75013,1,Trash,8 Yard,2x/week
10655 GATEWAY BLVD W,El Paso,TX,79935,1,Trash,8 Yard,2x/week
10714 International Blvd,Laredo,TX,78045,1,Trash,8 Yard,2x/week
108 W BAILEY BOSWELL RD,Saginaw,TX,76179,1,Trash,6 Yard w/ Lockbar,2x/week
1101 US 80 Frontage Rd,Mesquite,TX,75150,1,Trash,8 Yard,2x/week
1104 Silber Rd,Houston,TX,77055,1,Trash,6 Yard w/ Lockbar,2x/week
1107 S. Jackson Rd,Pharr,TX,78577,1,Trash,8 Yard,2x/week
1108 N HIGHWAY 35,Port Lavaca,TX,77979,1,Trash,6 Yard,2x/week
1112 Fort Worth Highway,Weatherford,TX,76086,1,Trash,8 Yard,2x/week
11302 POTRANCO RD,San Antonio,TX,78253,1,Trash,6 Yard,2x/week
11391 Montwood Dr,El Paso,TX,79936,1,Trash,8 Yard,2x/week
11701 PEBBLE HILLS BLVD,El Paso,TX,79936,1,Trash,4 Yard,1x/week
11725 BEECHNUT ST,Houston,TX,77072,1,Trash,8 Yard,1x/week
1190 W MAIN ST,Gun Barrel City,TX,75156,1,Trash,8 Yard,2x/week
11939 Plano Rd,Dallas,TX,75243,1,Trash,8 Yard,2x/week
1200 Eastchase Parkway,Fort Worth,TX,76120,1,Trash,8 Yard,2x/week
1200 SE MILITARY DR,San Antonio,TX,78214,1,Trash,6 Yard,2x/week
12007 Perrin-Beitel Rd,San Antonio,TX,78217,1,Trash,8 Yard,2x/week
1201 Highway 80,San Marcos,TX,78666,1,Trash,8 Yard,3x/week
12150 Eastlake Blvd,El Paso,TX,79927,1,Trash,8 Yard,2x/week
1219 N Midkiff Rd,Midland,TX,79703,1,Trash,8 Yard,4x/week
12250 Southwest Freeway,Stafford,TX,77477,1,Trash,6 Yard,3x/week
12295 Pellicano Drive,El Paso,TX,79936,1,Trash,8 Yard,2x/week
1230 N HIGHWAY 377,Roanoke,TX,76262,1,Trash,6 Yard,1x/week
124 E. Ovilla,Red Oak,TX,75154,1,Trash,8 Yard,2x/week
12411 FM 1960 RD W,Houston,TX,77065,1,Trash,4 Yard,2x/week
1245 US HIGHWAY 59,Wharton,TX,77488,1,Trash,3 Yard,2x/week
125 S OAKRIDGE DR,Hudson Oaks,TX,76087,1,Trash,6 Yard,2x/week
12505 E Northwest Highway,Dallas,TX,75228,1,Trash,8 Yard,2x/week
127 SLAUGHTER LN W,Austin,TX,78748,1,Trash,2 Yard,6x/week
127 SLAUGHTER LN W,Austin,TX,78748,1,OCC-Recycling,2 Yard,2x/week
12801 Tierra Este Rd,El Paso,TX,79938,1,Trash,6 Yard,2x/week
13000 Eastlake Blvd,El Paso,TX,79928,1,Trash,8 Yard,3x/week
13000 N I H 35,Austin,TX,78753,1,Trash,2 Yard,4x/week
13000 N I H 35,Austin,TX,78753,1,OCC-Recycling,2 Yard,2x/week
1302 Flour Bluff Dr,Corpus Christi,TX,78418,1,Trash,6 Yard,1x/week
13350 TOMBALL PKWY,Houston,TX,77068,1,Trash,6 Yard,2x/week
13501 FM 1472,Laredo,TX,78045,1,Trash,8 Yard,3x/week
13729 CENTRAL EXPWY N,Dallas,TX,75243,1,Trash,6 Yard w/ Lockbar,2x/week
1379 S MAIN ST,Boerne,TX,78006,1,Trash,6 Yard,3x/week
139 NE LOOP 564 WALMART PKING LOT,Mineola,TX,75773,1,Trash,8 Yard,2x/week
1398 EASTWOOD DR,Seguin,TX,78155,1,Trash,6 Yard,2x/week
1401 E Tyler St,Athens,TX,75751,1,Trash,8 Yard,2x/week
1405 Hwy 100,Port Isabel,TX,78578,1,Trash,6 Yard,2x/week
14083 FM 490,Raymondville,TX,78580,1,Trash,4 Yard,1x/week
14219 FM 2100 RD,Crosby,TX,77532,1,Trash,6 Yard,2x/week
1427 Palo Alto Rd,San Antonio,TX,78211,1,Trash,6 Yard,2x/week
1430 AUSTIN HWY,San Antonio,TX,78209,1,Trash,6 Yard,1x/week
14510 FM 2920,Tomball,TX,77375,1,Trash,8 Yard,2x/week
1454 E WHITESTONE BLVD,Cedar Park,TX,78613,1,Trash,8 Yard,3x/week
146 W FM 544,Murphy,TX,75094,1,Trash,4 Yard,3x/week
1501 Walton Spur,Carthage,TX,75633,1,Trash,8 Yard,2x/week
1519 JUSTIN RD,Lewisville,TX,75077,1,Trash,4 Yard w/ Casters,1x/week
1527 N LOOP W,Houston,TX,77008,1,Trash,6 Yard w/ Lockbar,2x/week
1545 N COCKRELL HILL RD,Dallas,TX,75211,1,Trash,8 Yard,4x/week
1548 FM 685,Pflugerville,TX,78660,1,Trash,6 Yard,2x/week
155 FM 518 RD,Kemah,TX,77565,1,Trash,4 Yard,2x/week
1561 N ZARAGOZA RD,El Paso,TX,79936,1,Trash,8 Yard,1x/week
1600 ROUND ROCK AVE,Round Rock,TX,78681,1,Trash,6 Yard,4x/week
1603 VANCE JACKSON RD,San Antonio,TX,78213,1,Trash,4 Yard,1x/week
1614 W HENDERSON ST,Cleburne,TX,76033,1,Trash,8 Yard,2x/week
1626 Louetta Road,Spring,TX,77388,1,Trash,8 Yard,2x/week
165 S Darrington Rd,Horizon City,TX,79928,1,Trash,6 Yard,1x/week
16507 NACOGDOCHES RD,San Antonio,TX,78247,1,Trash,8 Yard,2x/week
170 N BECKLEY/INTERSTATE 35E,Lancaster,TX,75146,1,Trash,8 Yard,2x/week
1712 W. Scyene Road,Mesquite,TX,75149,1,Trash,8 Yard,2x/week
1721 W FM 646 RD,League City,TX,77573,1,Trash,8 Yard,2x/week
1728 PRECINCT LINE RD,Hurst,TX,76054,1,Trash,6 Yard,1x/week
1750 S BROADWAY ST,Sulphur Springs,TX,75482,1,Trash,8 Yard,3x/week
1801 S Padre Island Dr,Corpus Christi,TX,78416,1,Trash,8 Yard,2x/week
18041 MARSH LN,Dallas,TX,75287,1,Trash,8 Yard,1x/week
1807 RANGE DR,Mesquite,TX,75149,1,Trash,6 Yard,2x/week
1809 4TH ST,Lubbock,TX,79415,1,Trash,6 Yard,2x/week
1820 N ZARAGOZA RD,El Paso,TX,79936,1,Trash,8 Yard,2x/week
1832 S MAIN ST,Weatherford,TX,76086,1,Trash,8 Yard,3x/week
186 E ROUND GROVE RD,Lewisville,TX,75067,1,Trash,4 Yard,2x/week
187 W South Town Dr,Tyler,TX,75702,1,Trash,6 Yard,2x/week
18702 HWY 105,Conroe,TX,77301,1,Trash,8 Yard,1x/week
1900 E Expressway 83,Penitas,TX,78576,1,Trash,8 Yard,2x/week
1901 FM 157,Mansfield,TX,76063,1,Trash,8 Yard,2x/week
1917 Main Street,Pearland,TX,77581,1,Trash,4 Yard,2x/week
1930 Pat Booker Rd,Universal City,TX,78148,1,Trash,8 Yard,2x/week
200 N HIGHWAY 175,Seagoville,TX,75159,1,Trash,8 Yard,2x/week
200 S New Rd,Waco,TX,76710,1,Trash,6 Yard,2x/week
2001 Murphy Ave,Donna,TX,78537,1,Trash,6 Yard,2x/week
2001 S DUMAS AVE,Dumas,TX,79029,1,Trash,3 Yard,2x/week
2002 N Main St,Cleburne,TX,76033,1,Trash,8 Yard,2x/week
201 WALTON WAY,Cedar Park,TX,78613,1,Trash,3 Yard,2x/week
2010 Heights Dr,Harker Heights,TX,76548,1,Trash,6 Yard,2x/week
2050 N HIGHWAY 78,Wylie,TX,75098,1,Trash,6 Yard,2x/week
2100 Hall - Johnson,Grapevine,TX,76051,1,Trash,8 Yard,3x/week
2100 SE LOOP 410,San Antonio,TX,78220,1,Trash,6 Yard,2x/week
2104 BEDFORD RD,Bedford,TX,76021,1,Trash,4 Yard,2x/week
2109 S GRAND ST,Amarillo,TX,79103,1,Trash,8 Yard,2x/week
2110 N Town East Blvd,Mesquite,TX,75150,1,Trash,8 Yard,2x/week
2111 Highway 146 Bypass,Liberty,TX,77575,1,Trash,6 Yard,1x/week
21170 KUYKENDAHL RD,Spring,TX,77379,1,Trash,4 Yard,2x/week
215 E EXPRESSWAY 83,Weslaco,TX,78596,1,Trash,6 Yard,2x/week
2175 Precinct Line Rd,Hurst,TX,76054,1,Trash,8 Yard,3x/week
2211 E PALM VALLEY BLVD,Round Rock,TX,78664,1,Trash,8 Yard,2x/week
2228 Jacksboro Hwy,Fort Worth,TX,76114,1,Trash,6 Yard,2x/week
22611 STATE HIGHWAY 249,Tomball,TX,77375,1,Trash,6 Yard,2x/week
2275 W Northwest Highway,Dallas,TX,75220,1,Trash,8 Yard,2x/week
22950 Bellaire Blvd,Richmond,TX,77406,1,Trash,6 Yard,2x/week
2301 N Big Springs St,Midland,TX,79705,1,Trash,8 Yard,2x/week
2305 BELMONT ST,Midland,TX,79701,1,Trash,6 Yard,3x/week
2318 Bob Bullock Loop 20,Laredo,TX,78043,1,Trash,8 Yard,1x/week
2331 E University Dr,Prosper,TX,75078,1,Trash,8 Yard,2x/week
23593 US Highway 59,Porter,TX,77365,1,Trash,6 Yard,2x/week
2400 NW Loop 338,Odessa,TX,79763,1,Trash,8 Yard,3x/week
2401 S Wayside Dr,Houston,TX,77023,1,Trash,6 Yard,3x/week
2427 Veterans BLVD,Del Rio,TX,78840,1,Trash,4 Yard,3x/week
2476 Arapaho Rd.,Garland,TX,75044,1,Trash,8 Yard,2x/week
2501 Avondale Haslet Rd,Haslet,TX,76052,1,Trash,8 Yard,3x/week
